P1_B2004,P1_B2005,P1_B2006,P1_B2007,P1_B2008,P2_B2016,P2_B2017,P2_B2018,P2_B2019,P2_B2020,P3_B2021,P3_B2022,P3_B2023,P3_B2024,P3_B2025,P4_HT_LD,P4_HT_PG,P4_HT_RS,P4_HT_WS,P4_HT_CT,time,attack,attack_P1,attack_P2,attack_P3,Label
0.10281535637713127,0.2687146474663469,0.18634137709988366,0.4144264742363894,0.2678403033780612,1.1064380575890798,0.987517204004289,0.6255439844629583,0.4398497566173952,0.7140839487883285,0.5656742596866102,0.3436166812354406,0.37414420797986664,0.26127001456359567,0.596284470828525,0.11729857914253755,0.8122256465936856,0.40329170407114406,0.4483149302010532,0.24550336713014323,2023-01-01 00:00:00,0,0,0,0,0
0.044812976167767304,0.2548157828098693,0.20590911338809423,0.3792450120306295,0.3261776171437031,1.0871700677902394,0.9450783050375199,0.5929695626338712,0.42337817668898375,0.7338294212516091,0.5433344769808165,0.3731094951010166,0.4584322770675948,0.2479485716833868,0.6162915880714367,-0.03351029463597534,0.7790540551138363,0.4492584247168531,0.42544478929742335,0.18075018423261366,2023-01-01 00:00:01,0,0,0,0,0
0.09209802649937959,0.267346632786372,0.19565481499472667,0.4619050484166471,0.2482232091103716,1.055958309941659,0.9215871605729444,0.6201705874966297,0.49364490789127063,0.6688573962804387,0.555539737155706,0.4043931436599793,0.44161816733480463,0.2291834624477854,0.5893395155402557,0.1614245637271354,0.8080288153640083,0.3895301618227598,0.5110262881854901,0.30435864714888206,2023-01-01 00:00:02,0,0,0,0,0
0.11482256609219962,0.2802368377691728,0.24203275186863576,0.4417160982011781,0.29894497776039997,1.0348546992388805,1.046282159576284,0.6549395380313799,0.46581790243770466,0.7235778257460598,0.5545525395679508,0.33554402373565767,0.43096331031481955,0.25686661316451914,0.57889549785627,0.13367654861558853,0.863044801480656,0.4226275992217618,0.4943340171325855,0.17445650348577746,2023-01-01 00:00:03,0,0,0,0,0
0.09689732978931845,0.23821947537206573,0.22301098403021904,0.4287711119808803,0.24737038656999236,1.1563525764634057,0.886474685461424,0.5631673259205849,0.47406019572290975,0.7938514614458558,0.5265921964798946,0.3949862517521338,0.4103292685473983,0.23613228286246762,0.6339414393473084,0.0781819756378794,0.8524362645474053,0.36191604528846244,0.4840755484002357,0.18446807134305065,2023-01-01 00:00:04,0,0,0,0,0
0.1136721589160107,0.2527166836805319,0.22224642736364053,0.41781393923652216,0.2419448275351162,1.0128134565930618,0.9501429422409394,0.7016040711732837,0.4801317339973544,0.7106624942245281,0.5264954110121336,0.30840981849039417,0.3950520764064415,0.29315083092080446,0.6221749411240055,0.1446085652577831,0.7811303076158735,0.4413327239933368,0.4231428256903524,0.2344884565051023,2023-01-01 00:00:05,0,0,0,0,0
0.13792283032279926,0.2796251110981051,0.17392976521279627,0.3867323771884245,0.30226470280455897,1.0410897690922183,0.9650316218312633,0.6089604855324292,0.44079685402571134,0.7257312073860877,0.6087178985060573,0.36170905532860675,0.40152152147900055,0.26834064899037374,0.6216323977370248,0.07905028682139438,0.8864483761971789,0.395593314493491,0.4578223548586755,0.17239577044190754,2023-01-01 00:00:06,0,0,0,0,0
0.12074177436950383,0.26612303650606417,0.2105596648372289,0.43564157156122685,0.25039841157446285,1.0213862119939097,0.9454101628247513,0.6379396437636995,0.47153849556893984,0.6516407281105505,0.590092011609899,0.32037317174284485,0.437696640272321,0.24592173896008612,0.5844578391109635,0.12052504295731578,0.7129943814236144,0.41469710156471434,0.41167100491235964,0.23175661378746204,2023-01-01 00:00:07,0,0,0,0,0
0.09665380752051644,0.29251819663923817,0.22068326808137984,0.4696046613041516,0.2833647776924199,0.9686636197266894,0.9168837589830526,0.6199980049429741,0.4640127230742363,0.7344192136841118,0.5101762172811064,0.3067306627367788,0.44048403165037625,0.22808884729268508,0.6332603472006559,0.06442465868605354,0.6648831275406479,0.4228437339896854,0.5249334492382765,0.19226968407733208,2023-01-01 00:00:08,0,0,0,0,0
0.08887234538960916,0.26821887190963967,0.18955991027556338,0.31086839482442286,0.3034901213638047,0.9836094389518273,0.9781434037191847,0.6320893948866043,0.46942840889428783,0.6640639764742831,0.4757366512680704,0.37983219929531264,0.45093185245265177,0.25896794174786536,0.6068798803001773,0.035172647141505434,0.810893906016965,0.40306548028778516,0.48741642242850597,0.21398118490015258,2023-01-01 00:00:09,0,0,0,0,0
0.09602376475554994,0.3720039038552906,0.18266314893780453,0.39478166178130425,0.21347633775734629,1.0807405545054605,0.8297521019592804,0.6485486322281575,0.4487493528879279,0.7561146550881432,0.5680703006403377,0.36832918985174934,0.3874384068021336,0.22028254907902287,0.6457977017269524,0.04052639361578657,0.8480250487576649,0.49614283082975574,0.47378814857457086,0.2114177818794744,2023-01-01 00:00:10,0,0,0,0,0
