P1_B2004,P1_B2005,P1_B2006,P2_B2016,P2_B2017,P3_B2021,P3_B2022,P4_HT_LD,P4_HT_PG,Label
48.85391049427192,46.7292070357558,49.15930623914867,42.022822553463755,38.135475039830254,70.30378547126313,70.95856562243198,30.207222628133756,20.99693851002217,0
49.78821450291741,47.05021690620567,49.72687262389727,43.008361760857824,38.473365757317175,69.6670022092654,69.75710067163237,29.94599128307501,20.839439339164002,0
49.80285933572438,47.541561591508746,50.118507523438694,42.831513558739914,38.90818329572852,69.92812208192278,70.6499206164219,30.145593764428888,21.29066798583571,0
50.290686612907145,47.975019740942344,50.109966403264465,43.314858791673984,38.96503519482648,69.98434050320195,71.96176807187963,29.970720098183364,21.196305787950124,0
50.7375630267524,48.23137289701441,50.853687167966704,43.70259066296358,39.589177553289915,70.11794837154277,71.69763357661787,29.912010777253645,20.839923266789313,0
50.621201700158444,48.21977576331515,51.58515609816832,43.32258213184253,38.76013032895208,70.23008183494473,71.64895649378182,30.016981775470427,20.923938066335175,0
50.14346483151936,47.71538919578833,50.75841431318498,42.93758935560177,38.05377689358135,69.53613540344324,71.09118037927531,30.957001295801938,21.58358163124501,0
50.68991270468329,48.56118711806782,51.27589957395077,43.22050932131415,38.40381542566378,70.37596696893829,72.04405735691391,30.17757228145013,20.953962523151652,0
50.94045149174308,48.69073718684661,51.29564623076532,43.37908284565915,39.79204526166208,70.07905033916175,71.37823709576425,30.633880549079,21.626016107500618,0
50.621256624728765,47.92707130423983,51.84867053368928,43.16839218747241,38.67217087932157,70.82464029483904,71.62536585808196,30.9980370368129,21.729710823541307,0
50.84480482041999,48.02231524910652,51.57068293905774,43.618359856548196,39.58537128975787,70.72117908242066,72.63470663660551,30.65017172510258,21.31005193450766,0
50.75953707199633,47.606029400490996,51.69091560392161,43.392557424360014,38.663974795870566,71.0063073328745,71.88713780927718,30.220445607966063,21.167234837713984,0
50.2411631972083,48.16379020118453,51.332560100348836,43.88790955610311,39.552775017582675,69.90694169089554,71.3398859834552,30.276559027631897,21.117926701497694,0
51.70933377214029,48.60086494570341,51.96981596026853,43.24660847838961,39.026469795929245,71.0506141385851,71.65837773106863,30.57367038817087,21.902267417992597,0
49.9289300847362,47.776147507434395,50.94554343096611,43.43364652422377,39.9412054751318,70.48543143448923,72.13568554021877,31.255284345145665,21.828938790767438,0
51.811867344481755,49.661143990155004,53.38073492573043,44.462974825080074,39.92131972094131,70.81455247958438,71.77521240923438,31.04529603995842,21.879746411079843,0
51.24453479034862,48.412294899597356,52.1871358643083,43.149024393367114,38.620741539303026,70.83766195390301,71.88576655723952,30.8189393381214,21.660198150167858,0
51.46665585002907,49.41418491430099,53.409109269113294,44.319711202401415,39.99302016496647,70.76095698570838,72.1683576262879,30.63611421431798,21.41515056786939,0
52.55476101408094,49.688655814307936,53.35348936525124,43.75076841587625,39.098262798197794,70.01821710854534,72.8195082152147,30.850316248480564,21.683273648568605,0
52.223660748994426,49.401986246309875,53.20289645513407,43.44980621179279,39.22769865740778,71.07070743804832,71.11697436606036,30.832049215515568,21.624532503590434,0
52.86098720633502,50.07359662178569,53.99296657906215,45.45671220162616,40.8949944450822,70.79977925804762,71.96524128056399,30.86860091524274,22.105375108522477,0
51.87047299075413,49.74663693033877,53.728837996712684,44.43550030193656,39.7658049754174,69.91810169124449,71.87370301679135,30.58920179286058,21.39302297569152,0
52.29863356021964,49.28223790132332,53.71373113761771,44.557193837933845,40.24978963428683,70.44343668931026,71.48065174266884,30.621287383183017,20.913541173793245,0
52.60011163259957,49.167815346394555,53.80930058696435,44.29896066348992,39.90156100794716,70.10929352013044,71.37927086910514,31.025518871418473,22.155671368508614,0
53.4209437435843,50.368259206178976,55.58705435721173,45.0022969432486,40.730163380636725,70.0332095297729,72.55832711803656,30.615905883321922,21.32920587023352,0
52.19433610916518,50.17286076866234,54.10475233593828,44.83843544740801,40.850327914819054,71.2033722176396,71.25038746744828,30.812769116406454,21.58623159326704,0
53.41816720066051,50.678050701559464,54.55025338721546,44.22281042315298,39.650036457186246,70.06733502726786,71.08605831092035,31.04525794323374,21.622925206274495,0
52.0241140365846,49.25669888088977,53.40703173329921,44.24845181492725,39.70015422031048,70.17668577401813,71.53802753478035,31.171210216810618,21.700063913945353,0
52.825854313078665,50.620256747809194,54.263909295169114,44.712566721336785,39.83761582332574,71.85648766419352,70.95736773337605,31.441833591473152,21.785551139469586,0
51.62988438867227,49.04992032343052,53.511320900753056,43.91394443952015,39.678859077947365,70.67346935863179,71.45403303654216,30.76584478156008,21.135594073875662,0
53.175475204139154,50.40196418503499,54.25449178376518,44.95538761967109,40.26642339346584,71.25618025806376,71.37920470447186,30.80090934816145,21.417138462314163,0
